customer_id,signup_date,acquisition_channel,country,is_active,age
C00192,19/06/2023,Email,Tanzania,1,45
C00193,2024-03-26,Referral,Uganda,1,31
C00194,2024-05-24,Paid Ads,Tanzania,1,18
C00195,14/02/2023,Organic,Kenya,1,60
C00196,01-31-2024,Organic,Kenya,1,49
C00197,08-08-2023,Email,Kenya,0,58
C00198,25/01/2024,Email,Rwanda,0,35
C00199,03-11-2023,Email,Kenya,1,22
C00200,2024-01-10,Email,Uganda,1,59
C00201,08-12-2024,Paid Ads,Rwanda,1,32
C00202,01/06/2023,Organic,Tanzania,1,59
C00203,03-13-2024,Organic,Uganda,1,33
C00204,2024-03-10,Email,Rwanda,1,53
C00205,2024-02-20,Paid Ads,Kenya,1,53
C00206,2024-06-24,Organic,Tanzania,1,57
C00207,2023-05-25,Organic,Kenya,1,47
C00208,2024-06-13,Paid Ads,Uganda,1,55
C00209,11/04/2023,Organic,Uganda,1,40
C00210,2023-02-15,Organic,Rwanda,1,28
C00211,06/11/2023,Paid Ads,Uganda,0,42
C00212,2024-03-20,Paid Ads,Tanzania,1,62
C00213,06/11/2023,Paid Ads,Rwanda,0,60
C00214,04-21-2023,Organic,Tanzania,1,19
C00215,14/05/2024,Email,Kenya,1,52
C00216,2024-03-31,Organic,Tanzania,1,64
C00217,05-03-2024,Organic,Tanzania,0,41
C00218,2023-08-24,Email,Uganda,1,30
C00219,2023-11-09,Paid Ads,Kenya,1,59
C00220,08/10/2023,Email,Uganda,1,54
C00221,2024-08-01,Paid Ads,Kenya,0,47
C00222,01-09-2024,Paid Ads,Kenya,0,28
C00223,13/03/2024,Organic,Tanzania,0,40
C00224,2023-03-18,Organic,Uganda,0,63
C00225,04-18-2023,Organic,Tanzania,1,45
C00226,2024-06-17,Organic,Tanzania,1,46
C00227,2024-06-24,Referral,Tanzania,1,32
C00228,23/10/2023,Organic,Kenya,1,62
C00229,2023-12-29,Email,Uganda,0,20
C00230,06-25-2024,Paid Ads,Uganda,0,26
C00231,04-02-2023,Email,Tanzania,1,25
C00232,04/01/2023,Paid Ads,Kenya,1,64
C00233,10-15-2023,Paid Ads,Uganda,0,50
C00234,07-15-2023,Paid Ads,Rwanda,1,51
C00235,24/07/2024,Organic,Uganda,1,26
C00236,2024-01-01,Email,Tanzania,1,34
C00237,2024-05-09,Organic,Rwanda,1,58
C00238,2023-08-28,Organic,Kenya,1,18
C00239,2023-04-03,Paid Ads,Rwanda,1,57
C00240,09/11/2023,Organic,Rwanda,1,22
C00241,2024-02-08,Referral,Tanzania,0,47
C00242,11-07-2023,Referral,Uganda,1,28
C00243,2023-11-21,Referral,Kenya,1,45
C00244,12/04/2023,Organic,Rwanda,0,55
C00245,30/06/2024,Organic,Tanzania,1,34
C00246,01-18-2023,Referral,Uganda,1,40
C00247,04-13-2024,Paid Ads,Rwanda,0,35
C00248,25/06/2024,Referral,Tanzania,1,54
C00249,07-10-2024,Referral,Tanzania,1,44
C00250,2024-06-14,Email,Tanzania,1,42
C00251,2023-04-19,Organic,Kenya,1,22
C00252,2023-08-07,Organic,Uganda,1,36
C00253,11-15-2023,Email,Rwanda,1,44
C00254,28/08/2023,Organic,Uganda,1,30
C00255,05-19-2024,Organic,Uganda,1,24
C00256,05/08/2024,Paid Ads,Rwanda,0,43
C00257,07-08-2024,Referral,Uganda,1,31
C00258,2023-07-08,Paid Ads,Kenya,1,44
C00259,2024-06-03,Paid Ads,Rwanda,0,25
C00260,14/10/2023,Organic,Rwanda,1,48
C00261,2023-05-13,Paid Ads,Tanzania,1,52
C00262,2024-04-30,Referral,Uganda,0,44
C00263,28/04/2023,Organic,Rwanda,1,21
C00264,30/05/2024,Paid Ads,Rwanda,1,59
C00265,06-03-2023,Email,Kenya,1,21
C00266,13/02/2024,Email,Tanzania,1,35
C00267,03-31-2024,Paid Ads,Rwanda,1,40
C00268,30/07/2023,Email,Kenya,1,49
C00269,25/06/2024,Organic,Rwanda,1,29
C00270,24/09/2023,Organic,Rwanda,1,37
C00271,2023-09-21,Email,Rwanda,1,64
C00272,03/03/2024,Email,Kenya,1,62
C00273,10/06/2024,Email,Uganda,1,29
C00274,23/04/2023,Referral,Rwanda,1,25
C00275,2023-02-18,Paid Ads,Rwanda,1,39
C00276,16/02/2023,Paid Ads,Uganda,1,44
C00277,01-15-2023,Email,Rwanda,1,58
C00278,10/05/2023,Paid Ads,Tanzania,1,58
C00279,26/03/2024,Email,Rwanda,1,34
C00280,05-11-2024,Email,Tanzania,0,49
C00281,2023-07-14,Email,Uganda,0,50
C00282,01-19-2023,Organic,Kenya,0,48
C00283,2023-02-08,Organic,Uganda,0,23
C00284,2023-12-30,Organic,Rwanda,1,56
C00285,28/03/2024,Paid Ads,Tanzania,1,26
C00286,19/08/2024,Organic,Kenya,1,59
C00287,2023-09-04,Paid Ads,Rwanda,1,49
C00288,28/11/2023,Paid Ads,Kenya,0,53
C00289,03-07-2023,Organic,Kenya,1,33
C00290,2023-02-23,Paid Ads,Rwanda,0,29
C00291,2023-02-28,Organic,Uganda,1,58
C00292,2024-01-13,Organic,Rwanda,0,20
C00293,02-03-2024,Email,Rwanda,1,44
C00294,11-09-2023,Organic,Uganda,1,44
C00295,2023-03-31,Organic,Tanzania,1,26
C00296,02-07-2023,Paid Ads,Rwanda,1,34
C00297,08-03-2024,Email,Kenya,0,63
C00298,02-02-2024,Organic,Rwanda,1,22
C00299,2023-06-01,Paid Ads,Rwanda,1,43
C00300,03-27-2024,Organic,Kenya,1,38
C00301,2023-03-05,Organic,Uganda,0,18
C00302,11-16-2023,Paid Ads,Tanzania,1,18
C00303,2024-08-15,Paid Ads,Tanzania,1,52
C00304,30/01/2023,Paid Ads,Kenya,1,26
C00305,05/02/2024,Email,Uganda,1,40
C00306,08-04-2024,Referral,Rwanda,1,55
C00307,24/09/2023,Paid Ads,Rwanda,1,58
C00308,12-11-2023,Organic,Rwanda,0,21
C00309,03-28-2023,Email,Rwanda,0,36
C00310,24/08/2023,Organic,Rwanda,1,54
C00311,10/10/2023,Paid Ads,Kenya,0,22
C00312,2024-07-14,Organic,Rwanda,1,45
C00313,02/08/2024,Organic,Rwanda,1,63
C00314,2024-08-19,Referral,Uganda,1,59
C00315,06-23-2024,Email,Rwanda,1,
C00316,07-15-2024,Paid Ads,Tanzania,0,40
C00317,2023-04-08,Paid Ads,Kenya,1,55
C00318,06-27-2023,Organic,Kenya,1,40
C00319,07-08-2024,Organic,Kenya,1,63
C00320,2023-05-01,Organic,Tanzania,1,35
C00321,2023-03-30,Paid Ads,Rwanda,1,46
C00322,02/02/2024,Email,Kenya,1,45
C00323,25/03/2023,Paid Ads,Tanzania,1,26
C00324,2024-04-04,Organic,Uganda,0,56
C00325,03-02-2024,Referral,Rwanda,1,27
C00326,05/10/2023,Email,Tanzania,1,19
C00327,2023-04-05,Paid Ads,Rwanda,1,30
C00328,03-16-2023,Paid Ads,Uganda,1,55
C00329,2023-08-26,Paid Ads,Tanzania,0,44
C00330,23/05/2023,Organic,Rwanda,1,58
C00331,2023-10-22,Organic,Tanzania,1,37
C00332,24/03/2023,Email,Kenya,0,57
C00333,06-20-2023,Organic,Rwanda,1,27
C00334,16/08/2023,Organic,Tanzania,1,33
C00335,2024-03-04,Organic,Kenya,1,32
C00336,07-09-2024,Organic,Uganda,0,30
C00337,2024-02-07,Email,Rwanda,1,55
C00338,2023-11-08,Email,Rwanda,1,37
C00339,05-19-2023,Paid Ads,Uganda,1,41
C00340,2023-12-21,Organic,Kenya,1,58
C00341,20/01/2024,Paid Ads,Uganda,1,24
C00342,2024-01-26,Paid Ads,Rwanda,1,40
C00343,01-23-2024,Organic,Tanzania,1,41
C00344,2023-11-07,Paid Ads,Kenya,1,46
C00345,03/04/2024,Organic,Kenya,1,22
C00346,05-15-2024,Paid Ads,Kenya,0,60
C00347,17/12/2023,Paid Ads,Uganda,1,62
C00348,14/03/2023,Organic,Uganda,1,52
C00349,08-30-2023,Organic,Tanzania,1,18
C00350,03-18-2024,Paid Ads,Tanzania,1,53
C00351,2023-07-08,Paid Ads,Kenya,1,35
C00352,2024-05-28,Email,Tanzania,1,23
C00353,21/02/2023,Paid Ads,Uganda,1,40
C00354,28/05/2024,Organic,Tanzania,0,27
C00355,2024-06-24,Organic,Uganda,1,24
C00356,11-11-2023,Paid Ads,Tanzania,1,61
C00357,10-02-2023,Organic,Rwanda,1,25
C00358,22/09/2023,Paid Ads,Uganda,0,30
C00359,04-09-2024,Referral,Rwanda,1,47
C00360,08/05/2024,Paid Ads,Uganda,1,35
C00361,2023-10-29,Organic,Tanzania,0,31
C00362,2024-04-27,Paid Ads,Rwanda,1,28
C00363,07/01/2023,Paid Ads,Tanzania,1,59
C00364,26/07/2023,Paid Ads,Uganda,1,55
C00365,2023-08-05,Referral,Rwanda,0,30
C00366,2023-10-17,Organic,Kenya,1,59
C00367,25/11/2023,Referral,Tanzania,0,61
C00368,04-01-2023,Referral,Uganda,1,50
C00369,06/12/2023,Organic,Rwanda,1,30
C00370,2024-08-16,Organic,Tanzania,1,42
C00371,09-14-2023,Organic,Rwanda,1,41
C00372,2023-01-26,Organic,Tanzania,1,46
C00373,03-22-2023,Organic,Tanzania,1,53
C00374,02/09/2023,Paid Ads,Tanzania,1,23
C00375,2024-05-21,Organic,Rwanda,1,35
C00376,02-05-2023,Organic,Rwanda,1,45
C00377,2023-07-08,Email,Tanzania,0,22
C00378,11-14-2023,Organic,Kenya,1,35
C00379,24/03/2023,Email,Kenya,0,54
C00380,2023-07-02,Organic,Kenya,1,24
C00381,2023-07-13,Organic,Uganda,0,26
C00382,09-22-2023,Paid Ads,Kenya,1,52
C00383,02-20-2024,Paid Ads,Rwanda,1,29
C00384,05-30-2024,Email,Kenya,0,63
C00385,09/10/2023,Email,Rwanda,0,57
C00386,05-10-2024,Email,Uganda,1,61
C00387,2023-06-29,Organic,Rwanda,1,56
C00388,2023-07-22,Organic,Rwanda,1,41
C00389,2023-12-04,Email,Rwanda,1,26
C00390,2024-02-10,Email,Kenya,0,29
C00391,20/05/2023,Referral,Tanzania,1,53
C00392,09/06/2024,Paid Ads,Rwanda,0,54
C00393,09/05/2023,Organic,Kenya,1,26
C00394,2024-07-29,Email,Kenya,0,56
C00395,13/06/2023,Organic,Kenya,0,63
C00396,05-29-2024,Referral,Tanzania,1,39
C00397,2024-01-02,Email,Tanzania,1,34
C00398,30/12/2023,Paid Ads,Tanzania,0,50
C00399,22/01/2024,Email,Tanzania,1,64
C00400,23/08/2024,Email,Uganda,1,41
C00401,08/11/2023,Organic,Tanzania,1,32
C00402,2023-03-05,Referral,Tanzania,1,46
C00403,2024-08-11,Paid Ads,Tanzania,0,49
C00404,24/07/2024,Email,Rwanda,1,50
C00405,2023-09-29,Organic,Rwanda,0,46
C00406,05-24-2023,Email,Tanzania,1,32
C00407,05-14-2023,Organic,Uganda,1,44
C00408,10/03/2023,Organic,Rwanda,1,51
C00409,27/09/2023,Referral,Kenya,1,21
C00410,2023-02-28,Organic,Rwanda,1,
C00411,2023-09-30,Organic,Kenya,1,35
C00412,11/03/2024,Referral,Rwanda,1,38
C00413,2023-10-06,Referral,Tanzania,0,
C00414,22/05/2024,Paid Ads,Rwanda,1,25
C00415,2023-08-24,Paid Ads,Tanzania,1,23
C00416,2023-09-05,Paid Ads,Tanzania,1,37
C00417,2024-08-05,Organic,Rwanda,1,19
C00418,01-17-2023,Organic,Kenya,1,62
C00419,2024-03-22,Paid Ads,Kenya,1,39
C00420,01-29-2023,Email,Rwanda,1,38
C00421,2024-08-15,Email,Tanzania,1,23
C00422,06/07/2023,Email,Kenya,1,49
C00423,2024-01-26,Organic,Uganda,1,23
C00424,2023-01-14,Paid Ads,Tanzania,1,30
C00425,2023-10-03,Organic,Rwanda,0,18
C00426,2023-11-29,Paid Ads,Tanzania,1,39
C00427,07-08-2024,Paid Ads,Uganda,1,41
C00428,09/06/2024,Email,Uganda,1,58
C00429,2023-12-27,Organic,Kenya,0,47
C00430,07/09/2023,Organic,Uganda,1,39
C00431,2023-09-20,Organic,Tanzania,1,61
C00432,2023-02-09,Email,Kenya,0,29
C00433,05-23-2024,Paid Ads,Uganda,1,43
C00434,06/01/2023,Organic,Kenya,1,21
C00435,2024-06-07,Organic,Kenya,1,36
C00436,2023-04-04,Email,Rwanda,1,33
C00437,2024-03-23,Organic,Kenya,1,29
C00438,13/02/2024,Email,Kenya,1,50
C00439,2024-01-13,Email,Uganda,1,38
C00440,04/12/2023,Organic,Tanzania,1,53
C00441,2023-01-01,Organic,Tanzania,0,26
C00442,2024-03-28,Referral,Uganda,1,56
C00443,2023-04-12,Organic,Tanzania,1,59
C00444,03-28-2024,Organic,Kenya,1,62
C00445,22/07/2023,Email,Rwanda,1,25
C00446,2023-06-14,Referral,Kenya,1,37
C00447,06/07/2024,Referral,Kenya,1,27
C00448,2023-12-26,Email,Rwanda,1,49
C00449,2023-11-11,Organic,Uganda,1,45
C00450,30/01/2023,Organic,Kenya,1,27
C00451,2023-10-10,Email,Kenya,1,25
C00452,2023-04-21,Paid Ads,Uganda,1,64
C00453,04/07/2023,Paid Ads,Kenya,0,50
C00454,2023-11-03,Referral,Kenya,1,64
C00455,08-02-2023,Organic,Tanzania,1,30
C00456,02-01-2023,Paid Ads,Uganda,1,61
C00457,17/01/2023,Organic,Kenya,0,52
C00458,2023-08-16,Paid Ads,Kenya,1,46
C00459,2023-09-25,Organic,Rwanda,1,22
C00460,23/01/2023,Organic,Rwanda,1,20
C00461,05-24-2024,Organic,Rwanda,1,54
C00462,07-30-2023,Paid Ads,Kenya,0,58
C00463,01-18-2023,Email,Kenya,1,23
C00464,20/10/2023,Paid Ads,Rwanda,1,
C00465,04-21-2023,Referral,Tanzania,0,59
C00466,09/02/2023,Organic,Tanzania,1,33
C00467,08-07-2023,Organic,Tanzania,0,52
C00468,01-08-2024,Email,Tanzania,1,35
C00469,2023-07-26,Organic,Uganda,1,28
C00470,06-23-2023,Referral,Rwanda,0,40
C00471,11-21-2023,Organic,Kenya,1,64
C00472,09/07/2024,Referral,Rwanda,1,28
C00473,2024-01-06,Organic,Tanzania,1,46
C00474,13/02/2023,Email,Kenya,1,59
C00475,08-10-2024,Paid Ads,Uganda,1,44
C00476,10-18-2023,Referral,Rwanda,1,26
C00477,07/03/2023,Organic,Kenya,1,52
C00478,2023-01-23,Paid Ads,Kenya,1,26
C00479,2024-07-08,Referral,Tanzania,0,35
C00480,22/05/2024,Paid Ads,Tanzania,1,61
C00481,02-24-2024,Paid Ads,Rwanda,1,38
C00482,2023-04-16,Paid Ads,Uganda,1,
C00483,01-11-2023,Paid Ads,Kenya,1,53
C00484,28/07/2023,Paid Ads,Tanzania,1,18
C00485,10/06/2023,Paid Ads,Rwanda,1,44
C00486,2023-01-06,Referral,Tanzania,0,62
C00487,05-04-2024,Organic,Rwanda,0,57
C00488,17/02/2023,Organic,Tanzania,1,55
C00489,2024-07-16,Referral,Uganda,1,46
C00490,01/04/2024,Email,Kenya,1,57
C00491,08-04-2023,Paid Ads,Tanzania,1,36
C00492,2024-03-08,Paid Ads,Kenya,1,41
C00493,10-01-2023,Organic,Rwanda,1,61
C00494,31/12/2023,Organic,Uganda,1,18
C00495,30/06/2024,Paid Ads,Kenya,1,53
C00496,2023-12-15,Organic,Tanzania,0,40
C00497,2023-05-03,Paid Ads,Kenya,1,30
C00498,03-16-2023,Organic,Kenya,1,47
C00499,07/05/2024,Referral,Rwanda,1,54
C00500,24/04/2024,Referral,Uganda,0,28
C00501,17/04/2024,Paid Ads,Uganda,0,24
C00502,16/04/2024,Paid Ads,Kenya,1,52
C00503,12/08/2024,Organic,Kenya,1,28
C00504,08-14-2023,Email,Rwanda,0,60
C00505,2023-05-02,Paid Ads,Kenya,1,64
C00506,22/07/2024,Organic,Rwanda,0,57
C00507,19/05/2024,Referral,Uganda,1,
C00508,03-22-2023,Email,Uganda,1,38
C00509,10/04/2024,Referral,Rwanda,1,64
C00510,02-19-2024,Email,Kenya,1,20
C00511,2023-03-03,Paid Ads,Uganda,1,47
C00512,04/12/2023,Paid Ads,Tanzania,1,41
C00513,05-23-2023,Referral,Rwanda,0,55
C00514,2024-02-19,Email,Uganda,1,20
C00515,04-02-2023,Organic,Uganda,1,54
C00516,02/07/2024,Organic,Uganda,1,50
C00517,01/04/2024,Organic,Tanzania,1,39
C00518,2023-01-04,Email,Tanzania,1,48
C00519,2023-11-02,Referral,Tanzania,1,63
C00520,2024-08-14,Organic,Kenya,1,29
C00521,10/08/2024,Paid Ads,Rwanda,1,62
C00522,08-16-2024,Organic,Kenya,0,31
C00523,19/11/2023,Referral,Tanzania,1,29
C00524,2023-12-12,Email,Rwanda,0,44
C00525,01-28-2023,Email,Kenya,1,30
C00526,05-19-2024,Paid Ads,Kenya,1,41
C00527,01-04-2023,Paid Ads,Kenya,1,55
C00528,2023-03-22,Organic,Tanzania,1,64
C00529,29/07/2024,Organic,Uganda,1,
C00530,16/03/2024,Email,Rwanda,1,26
C00531,2023-06-12,Email,Tanzania,1,25
C00532,27/07/2023,Referral,Rwanda,1,54
C00533,2023-01-06,Referral,Tanzania,0,32
C00534,19/08/2024,Paid Ads,Kenya,1,24
C00535,2023-08-23,Email,Kenya,1,41
C00536,2023-07-25,Referral,Uganda,0,33
C00537,05-07-2024,Email,Uganda,1,41
C00538,01/02/2023,Organic,Rwanda,1,60
C00539,2023-03-22,Paid Ads,Uganda,1,24
C00540,2023-08-23,Organic,Uganda,1,60
C00541,13/12/2023,Referral,Rwanda,1,45
C00542,07-16-2024,Paid Ads,Tanzania,1,19
C00543,08-20-2023,Organic,Uganda,1,51
C00544,11-24-2023,Paid Ads,Tanzania,1,55
C00545,2023-04-22,Paid Ads,Kenya,1,20
C00546,2024-03-20,Organic,Uganda,1,18
C00547,2024-01-17,Organic,Kenya,1,48
C00548,2023-01-01,Paid Ads,Kenya,1,40
C00549,08-07-2023,Paid Ads,Tanzania,1,37
C00550,18/03/2023,Email,Rwanda,0,33
C00551,29/07/2024,Paid Ads,Uganda,1,63
C00552,27/12/2023,Email,Tanzania,1,49
C00553,2024-08-08,Paid Ads,Rwanda,1,34
C00554,2023-01-31,Paid Ads,Kenya,1,35
