order_id,customer_id,order_date,order_value,discount,order_status
O000092,C02399,2023-07-16,158.77,0,Completed
O000093,C09863,29-06-2023,318.8,5,Completed
O000094,C00037,13-06-2023,57.68,0,Completed
O000095,C01628,2023-11-16,152.1,0,Completed
O000096,C02340,26-04-2023,254.13,0,Completed
O000097,C06161,2023-02-13,272.26,10,Completed
O000098,C01372,16-05-2024,307.63,0,Completed
O000099,C00677,03-08-2023,400.64,,Returned
O000100,C05073,17-08-2023,89.99,,Completed
O000101,C00253,28-02-2024,120.26,5,Completed
O000102,C02865,2023-09-30,437.43,0,Completed
O000103,C01617,2023-09-14,417.27,0,Completed
O000104,C02232,09-05-2023,412.57,0,Completed
O000105,C06434,2024-04-11,112.22,5,Completed
O000106,C00761,14-12-2023,38.55,5,Completed
O000107,C03287,30-06-2023,266.47,0,Completed
O000108,C06302,2023-12-29,436.32,5,Completed
O000109,C07067,2023-10-04,126.38,0,Completed
O000110,C06835,2024-02-27,453.06,5,Completed
O000111,C00393,07-10-2023,79.35,5,Cancelled
O000112,C08623,2023-09-02,156.07,5,Completed
O000113,C00997,29-10-2023,156.16,0,Completed
O000114,C07149,2024-05-19,84.04,10,Completed
O000115,C09284,08-03-2023,437.66,0,Completed
O000116,C01101,2023-03-19,212.17,0,Completed
O000117,C08294,2023-04-20,103.42,5,Completed
O000118,C09085,2023-02-14,82.15,0,Completed
O000119,C02261,2023-04-24,216.25,0,Completed
O000120,C09981,16-11-2023,18.47,10,Cancelled
O000121,C02181,30-04-2024,69.32,0,Completed
O000122,C05317,2023-05-08,11.81,0,Completed
O000123,C01781,2023-05-14,21.95,5,Completed
O000124,C06434,2023-08-21,498.71,20,Completed
O000125,C09472,2023-11-07,229.96,0,Completed
O000126,C04009,2023-02-24,367.17,0,Completed
O000127,C07374,2023-08-04,371.17,10,Completed
O000128,C03287,16-02-2024,441.4,0,Completed
O000129,C04518,01-11-2023,60.84,0,Completed
O000130,C02629,2023-02-04,267.58,0,Completed
O000131,C00539,2023-12-29,167.64,20,Completed
O000132,C01781,30-05-2023,278.76,0,Completed
O000133,C06606,15-12-2023,172.74,10,Completed
O000134,C02349,2023-10-24,99.99,0,Completed
O000135,C05408,18-03-2023,339.69,0,Completed
O000136,C07170,2024-02-27,28.83,0,Completed
O000137,C01961,2024-01-09,448.74,0,Completed
O000138,C03092,2023-07-13,81.67,20,Completed
O000139,C07098,2023-04-26,311.42,0,Completed
O000140,C03563,27-03-2024,379.56,20,Completed
O000141,C05082,28-04-2023,45.73,10,Completed
O000142,C04902,2023-08-22,452.61,10,Completed
O000143,C02305,2023-12-23,184.53,0,Completed
O000144,C02486,2023-08-16,498.4,0,Completed
O000145,C07929,2023-06-25,43.7,5,Completed
O000146,C08176,07-04-2024,361.22,0,Cancelled
O000147,C00649,04-01-2024,88.75,0,Cancelled
O000148,C07891,08-01-2024,207.32,0,Completed
O000149,C03816,23-10-2023,227.17,0,Completed
O000150,C06280,25-09-2023,209.02,20,Completed
O000151,C09744,2023-12-10,175.41,0,Completed
O000152,C09495,2023-05-24,385.93,0,Completed
O000153,C02633,17-10-2023,411.75,,Completed
O000154,C07904,06-02-2023,174.45,10,Completed
O000155,C01269,2024-02-24,246.5,0,Completed
O000156,C01774,2023-10-29,216.66,0,Completed
O000157,C07021,2023-06-24,300.82,10,Completed
O000158,C03628,2023-02-23,83.63,5,Completed
O000159,C01167,2023-12-11,404.79,10,Completed
O000160,C02549,2023-02-19,400.54,0,Completed
O000161,C01551,2023-08-23,299.3,0,Completed
O000162,C02141,07-06-2024,375.61,10,Completed
O000163,C05503,17-04-2024,494.37,0,Cancelled
O000164,C06009,13-07-2023,462.03,5,Completed
O000165,C06423,2024-05-12,309.61,0,Completed
O000166,C05847,16-05-2023,260.59,5,Returned
O000167,C03521,14-06-2024,271.92,0,Completed
O000168,C07929,09-06-2024,238.64,10,Completed
O000169,C07126,2024-04-18,245.31,5,Completed
O000170,C08813,2023-05-26,368.7,0,Completed
O000171,C05408,2023-12-17,496.14,0,Completed
O000172,C02524,27-07-2023,32.2,5,Completed
O000173,C04768,29-03-2023,122.79,0,Completed
O000174,C08363,2024-04-13,113.0,0,Cancelled
O000175,C05645,31-10-2023,418.1,0,Completed
O000176,C02420,2023-12-19,215.66,0,Completed
O000177,C09609,29-09-2023,267.31,5,Completed
O000178,C06078,2023-06-07,239.88,0,Completed
O000179,C07678,29-12-2023,428.3,0,Completed
O000180,C00939,2023-06-08,254.86,0,Completed
O000181,C04931,2023-10-12,337.24,0,Completed
O000182,C06353,2023-05-22,19.55,5,Completed
O000183,C06944,13-07-2023,329.7,0,Completed
O000184,C07612,01-05-2023,128.07,0,Cancelled
O000185,C08065,2023-02-06,434.77,0,Cancelled
O000186,C03178,28-03-2023,378.26,10,Completed
O000187,C05352,2023-05-28,63.55,,Completed
O000188,C05101,08-08-2023,60.7,10,Returned
O000189,C03797,2023-09-12,153.57,0,Completed
O000190,C02885,12-07-2023,71.62,0,Completed
O000191,C09924,2023-12-02,372.76,0,Completed
O000192,C01273,13-06-2024,493.54,0,Completed
O000193,C06408,19-05-2023,331.08,0,Completed
O000194,C01753,2024-04-08,132.03,0,Completed
O000195,C07671,2024-04-13,286.49,0,Cancelled
O000196,C07431,22-02-2024,404.77,0,Completed
O000197,C01692,24-06-2023,481.48,10,Completed
O000198,C09450,2023-03-08,12.49,10,Completed
O000199,C08624,2023-12-20,266.61,10,Completed
O000200,C05174,16-09-2023,232.07,5,Completed
O000201,C03906,11-04-2024,213.1,0,Cancelled
O000202,C06047,2023-09-19,256.88,,Completed
O000203,C06081,08-08-2023,207.72,,Completed
O000204,C06157,2024-04-04,178.57,5,Completed
O000205,C06815,2024-04-05,66.26,,Completed
O000206,C06685,15-01-2024,254.92,0,Returned
O000207,C02105,11-11-2023,412.32,5,Completed
O000208,C05100,2023-08-22,61.32,5,Completed
O000209,C09377,2023-09-21,371.86,5,Completed
O000210,C00437,24-12-2023,141.21,10,Completed
O000211,C04326,31-03-2023,196.81,5,Completed
O000212,C07009,20-01-2024,494.16,0,Completed
O000213,C08814,26-02-2024,340.85,10,Completed
O000214,C08827,11-09-2023,362.37,10,Completed
O000215,C01994,22-05-2023,305.17,5,Completed
O000216,C02676,2023-10-16,167.96,0,Completed
O000217,C05862,01-12-2023,340.81,5,Returned
O000218,C02341,12-04-2023,234.06,5,Completed
O000219,C09602,2024-02-26,417.72,0,Completed
O000220,C03817,15-11-2023,289.82,10,Completed
O000221,C09021,2023-03-15,387.91,20,Completed
O000222,C02282,29-05-2024,425.77,0,Completed
O000223,C07464,01-11-2023,412.35,0,Completed
O000224,C05823,2023-03-30,207.03,0,Completed
O000225,C08729,30-12-2023,190.69,0,Completed
O000226,C09595,04-04-2024,435.84,0,Completed
O000227,C08997,10-12-2023,80.12,10,Cancelled
O000228,C06683,2023-09-19,146.91,0,Cancelled
O000229,C09044,11-07-2023,69.29,5,Completed
O000230,C08098,02-02-2023,30.62,0,Completed
O000231,C00556,13-02-2024,311.77,5,Completed
O000232,C08068,2023-08-16,451.38,5,Completed
O000233,C05342,2023-06-10,73.41,5,Completed
O000234,C05044,2024-03-13,399.9,10,Cancelled
O000235,C07401,30-03-2024,195.88,0,Cancelled
O000236,C06030,2023-11-14,312.89,0,Completed
O000237,C06819,29-09-2023,384.23,0,Completed
O000238,C02095,2023-02-17,357.94,5,Completed
O000239,C03479,03-05-2023,76.98,0,Completed
O000240,C02931,2023-05-07,66.54,10,Completed
O000241,C08446,2023-07-05,462.85,10,Completed
O000242,C03521,08-01-2024,48.94,0,Completed
O000243,C00059,18-02-2024,117.02,0,Completed
O000244,C03703,24-05-2024,224.79,5,Completed
O000245,C09914,2023-02-10,412.3,10,Completed
O000246,C02608,22-06-2023,305.29,0,Completed
O000247,C05111,2023-06-09,289.88,0,Completed
O000248,C08457,13-01-2024,349.06,0,Completed
O000249,C01708,09-08-2023,403.06,0,Completed
O000250,C02294,12-02-2023,123.94,0,Completed
O000251,C02485,31-05-2024,19.26,0,Completed
O000252,C02736,2024-04-17,72.33,0,Completed
O000253,C03456,2023-09-01,90.93,5,Completed
O000254,C00938,10-08-2023,29.61,20,Completed
O000255,C00878,04-01-2024,376.28,10,Completed
O000256,C08739,24-05-2024,443.61,5,Completed
O000257,C02463,31-12-2023,358.22,10,Completed
O000258,C04494,2023-04-22,102.43,,Returned
O000259,C06136,2024-02-10,307.16,0,Completed
O000260,C07982,2023-02-27,265.1,5,Completed
O000261,C02216,06-09-2023,411.78,0,Completed
O000262,C05727,2024-06-07,471.73,,Completed
O000263,C05948,2024-05-01,374.04,20,Cancelled
O000264,C08422,04-08-2023,261.14,0,Returned
O000265,C01428,2023-09-18,260.41,5,Completed
O000266,C06288,2023-03-08,405.82,5,Completed
O000267,C01700,2024-06-03,70.03,10,Completed
O000268,C02146,2023-11-28,85.12,0,Completed
O000269,C08199,10-02-2023,178.32,0,Completed
O000270,C06959,23-09-2023,376.1,0,Completed
O000271,C04273,12-03-2023,42.33,0,Completed
O000272,C09422,2023-02-26,178.72,10,Completed
O000273,C01824,08-06-2023,166.08,0,Completed
O000274,C03985,23-02-2024,248.01,0,Completed
O000275,C08823,20-11-2023,237.22,0,Completed
O000276,C08462,2024-01-24,360.06,0,Completed
O000277,C03772,28-10-2023,316.52,,Completed
O000278,C00501,2023-12-27,452.36,,Completed
O000279,C05607,2023-05-12,98.52,5,Completed
O000280,C07940,12-04-2023,221.72,5,Completed
O000281,C05608,2023-02-10,206.05,0,Returned
O000282,C02751,2023-10-16,65.13,0,Completed
O000283,C01313,2023-10-04,90.77,0,Completed
O000284,C02154,2023-05-26,174.95,0,Completed
O000285,C04737,2023-11-15,370.05,0,Completed
O000286,C00609,2023-05-28,83.58,0,Completed
O000287,C05105,25-05-2024,140.01,0,Completed
O000288,C01664,2023-05-02,341.45,20,Completed
O000289,C03295,2024-06-03,302.36,0,Completed
O000290,C05925,14-03-2023,61.15,0,Completed
O000291,C01998,22-12-2023,472.42,5,Completed
O000292,C06023,2023-06-16,82.53,0,Completed
O000293,C03186,2024-02-01,40.09,0,Completed
O000294,C01532,02-09-2023,159.08,10,Completed
O000295,C04217,2023-07-24,22.97,0,Returned
O000296,C07385,09-10-2023,25.05,0,Completed
O000297,C03707,20-03-2024,293.58,0,Completed
O000298,C07260,2024-04-05,447.55,5,Cancelled
O000299,C04503,23-06-2023,207.25,0,Completed
O000300,C08868,12-05-2024,158.05,5,Completed
O000301,C09847,03-11-2023,458.17,0,Completed
O000302,C05005,2024-06-10,40.12,5,Completed
O000303,C03545,2023-04-30,241.92,,Returned
O000304,C03819,2024-04-21,133.78,0,Completed
O000305,C08088,24-03-2023,197.04,5,Completed
O000306,C07083,2023-02-22,211.29,20,Completed
O000307,C03444,2023-03-18,277.12,0,Completed
O000308,C05710,05-07-2023,232.09,0,Completed
O000309,C01048,2023-03-26,494.14,0,Cancelled
O000310,C09524,2023-07-28,22.5,,Completed
O000311,C02661,2024-01-10,381.25,5,Completed
O000312,C07931,2023-10-25,34.99,,Returned
O000313,C07059,04-04-2024,221.22,0,Completed
O000314,C06267,06-05-2024,108.9,10,Completed
O000315,C08956,2023-07-20,473.2,0,Completed
O000316,C08078,2023-04-21,364.02,5,Completed
O000317,C03409,26-09-2023,236.8,,Completed
O000318,C06302,27-03-2023,476.6,0,Cancelled
O000319,C07495,2023-04-18,363.43,0,Completed
O000320,C01685,2024-01-02,476.45,0,Cancelled
O000321,C00870,2024-03-02,355.24,0,Completed
O000322,C05124,2023-02-17,48.08,0,Completed
O000323,C09106,2023-11-19,311.99,0,Completed
O000324,C05876,11-04-2024,490.37,0,Completed
O000325,C07213,2023-07-25,114.95,0,Completed
O000326,C06728,12-04-2024,398.44,0,Completed
O000327,C09823,2023-03-28,100.47,0,Completed
O000328,C00543,22-04-2023,231.6,0,Completed
O000329,C02204,04-04-2023,51.49,0,Completed
O000330,C02936,17-08-2023,176.89,0,Cancelled
O000331,C00752,2023-06-17,390.35,5,Completed
O000332,C02112,2023-05-20,32.18,,Completed
O000333,C08613,21-08-2023,166.9,0,Completed
O000334,C07277,2023-07-03,318.58,0,Cancelled
O000335,C09679,2023-04-18,474.79,5,Completed
O000336,C05700,09-08-2023,130.22,,Completed
O000337,C00547,06-12-2023,94.84,0,Cancelled
O000338,C04962,2023-05-25,109.8,0,Completed
O000339,C02558,08-09-2023,126.04,0,Completed
O000340,C01572,16-03-2024,322.78,0,Completed
O000341,C06585,2024-02-11,499.35,10,Completed
O000342,C08646,15-05-2024,266.56,0,Completed
O000343,C02692,19-01-2024,143.0,10,Completed
O000344,C06961,2023-12-16,376.01,5,Completed
O000345,C09950,19-04-2023,87.54,0,Completed
O000346,C04775,2024-02-10,24.71,5,Completed
O000347,C00060,31-05-2023,306.58,10,Completed
O000348,C09610,03-07-2023,113.04,0,Completed
O000349,C06212,2023-09-03,205.63,0,Completed
O000350,C01339,2023-11-06,123.26,10,Completed
O000351,C08659,2023-02-26,459.85,,Cancelled
O000352,C07002,05-02-2024,175.61,5,Completed
O000353,C07949,2023-05-03,230.05,0,Completed
O000354,C02472,11-05-2023,125.07,0,Completed
O000355,C08912,2023-04-19,51.58,5,Completed
O000356,C09428,29-03-2023,261.15,,Completed
O000357,C08755,18-05-2023,435.67,0,Returned
O000358,C09175,15-02-2023,182.32,0,Completed
O000359,C04521,26-04-2023,392.67,5,Completed
O000360,C08102,12-03-2023,25.98,5,Completed
O000361,C01731,17-07-2023,125.4,,Completed
O000362,C04340,2024-02-14,74.43,0,Completed
O000363,C07880,2023-04-28,207.41,0,Cancelled
O000364,C08038,2023-05-13,448.22,0,Completed
O000365,C07801,2023-04-20,193.02,10,Completed
O000366,C03048,2023-08-10,305.63,0,Completed
O000367,C09550,2024-04-29,450.09,0,Completed
O000368,C05226,2024-01-01,186.3,0,Completed
O000369,C01786,26-04-2024,189.22,0,Completed
O000370,C01963,2023-12-15,53.11,5,Cancelled
O000371,C07247,2024-02-01,181.03,0,Completed
O000372,C09381,27-04-2024,375.62,0,Returned
O000373,C05966,06-04-2023,423.87,5,Completed
O000374,C02679,26-04-2024,364.15,5,Completed
O000375,C06106,14-07-2023,13.39,5,Completed
O000376,C05308,09-04-2024,67.32,0,Completed
O000377,C03124,20-11-2023,368.18,5,Cancelled
O000378,C03144,06-06-2023,471.77,0,Completed
O000379,C02801,2023-06-22,350.73,0,Completed
O000380,C00324,2023-12-11,120.79,0,Completed
O000381,C02203,01-12-2023,62.7,0,Completed
O000382,C06203,2023-08-27,439.74,,Cancelled
O000383,C07443,29-07-2023,58.52,0,Completed
O000384,C01795,2023-07-12,84.01,5,Completed
O000385,C02343,09-06-2023,302.38,10,Completed
O000386,C03046,2023-10-02,103.1,5,Completed
O000387,C01308,2023-10-27,121.52,5,Returned
O000388,C01456,2023-09-04,79.71,0,Completed
O000389,C09155,26-09-2023,472.72,0,Completed
O000390,C09910,2023-08-09,71.21,20,Completed
O000391,C05392,05-06-2024,466.35,5,Completed
O000392,C02540,06-04-2024,169.84,0,Completed
O000393,C03619,2023-09-17,412.56,10,Completed
O000394,C02379,16-09-2023,475.5,0,Completed
O000395,C09067,2023-11-28,264.44,5,Completed
O000396,C02206,2024-02-09,387.38,0,Completed
O000397,C01140,2024-04-26,140.35,0,Completed
O000398,C03592,11-03-2024,197.65,5,Completed
O000399,C04715,2023-02-12,280.96,5,Completed
O000400,C04715,03-05-2024,426.73,0,Completed
O000401,C09738,21-03-2024,314.16,0,Completed
O000402,C04668,2024-04-25,20.83,0,Completed
O000403,C08458,2024-02-13,159.34,5,Completed
O000404,C08294,2024-01-29,433.84,0,Completed
O000405,C07855,07-02-2024,127.72,0,Completed
O000406,C07159,2023-04-05,190.28,10,Completed
O000407,C03974,2024-06-01,200.91,5,Completed
O000408,C09727,2023-10-25,85.68,20,Completed
O000409,C02270,2023-08-19,181.41,5,Completed
O000410,C02484,10-02-2023,410.54,,Completed
O000411,C01214,19-09-2023,426.06,0,Completed
O000412,C04736,2023-12-27,294.64,0,Completed
O000413,C04430,23-02-2023,342.58,0,Completed
O000414,C09099,2023-10-24,271.94,0,Completed
O000415,C09774,2024-04-27,31.69,0,Completed
O000416,C09797,2023-09-07,351.38,0,Completed
O000417,C05996,2024-01-26,498.31,20,Completed
O000418,C00570,13-02-2023,121.63,0,Completed
O000419,C08096,2023-02-17,491.25,10,Completed
O000420,C01546,2023-07-10,498.91,0,Completed
O000421,C00909,2023-11-23,79.34,0,Completed
O000422,C04463,2023-06-14,463.81,20,Completed
O000423,C04084,07-11-2023,341.01,0,Completed
O000424,C03341,12-06-2024,238.52,0,Completed
O000425,C06948,2023-03-26,178.88,0,Completed
O000426,C07040,2023-05-03,318.6,10,Completed
O000427,C07113,2023-09-21,422.97,0,Completed
O000428,C02426,06-04-2024,26.71,10,Completed
O000429,C07156,2024-05-08,272.38,10,Completed
O000430,C09206,18-04-2023,328.63,0,Cancelled
O000431,C06671,02-05-2023,22.55,0,Completed
O000432,C01873,2024-05-09,445.65,0,Completed
O000433,C04910,11-03-2023,476.38,0,Completed
O000434,C08398,2023-12-25,310.12,10,Completed
O000435,C00816,17-02-2024,67.33,5,Completed
O000436,C00066,01-03-2023,466.88,0,Completed
O000437,C02052,2023-08-08,404.45,5,Completed
O000438,C00003,06-06-2024,23.99,0,Completed
O000439,C07427,28-03-2024,293.79,,Completed
O000440,C00325,2024-06-09,66.12,0,Completed
O000441,C06135,2023-05-18,79.12,10,Completed
O000442,C00605,2023-09-11,104.33,0,Completed
O000443,C04892,2023-10-03,204.13,20,Completed
O000444,C02583,03-09-2023,439.43,0,Completed
O000445,C03123,2023-02-04,25.23,5,Completed
O000446,C07977,2023-11-06,347.71,5,Cancelled
O000447,C03115,03-09-2023,482.63,0,Completed
O000448,C00347,2023-10-05,324.2,0,Completed
O000449,C03444,2023-05-04,409.65,10,Completed
O000450,C02255,2023-08-31,451.87,0,Completed
O000451,C08303,2023-09-08,360.25,0,Returned
O000452,C00023,20-03-2023,333.32,0,Completed
O000453,C03817,21-03-2023,18.8,10,Completed
O000454,C01708,17-03-2023,264.26,0,Completed
O000455,C06716,2024-01-18,239.92,20,Completed
O000456,C06054,11-05-2024,266.13,5,Completed
O000457,C03816,08-05-2023,221.92,0,Completed
O000458,C08939,2023-07-08,454.21,0,Completed
O000459,C00515,2024-06-07,445.62,0,Returned
O000460,C06288,2023-06-08,71.59,0,Completed
O000461,C03040,2023-04-12,271.12,0,Completed
O000462,C05862,25-06-2023,480.18,5,Cancelled
O000463,C02857,2023-12-08,303.35,0,Completed
O000464,C02342,31-05-2023,402.82,0,Completed
O000465,C08517,2023-07-15,192.95,0,Completed
O000466,C06337,30-04-2023,194.85,0,Completed
O000467,C03363,11-06-2024,169.59,0,Cancelled
O000468,C07807,2024-01-14,20.7,0,Completed
O000469,C03491,2023-12-15,463.18,,Completed
O000470,C02508,08-03-2023,181.32,0,Completed
O000471,C08149,16-05-2023,189.87,10,Completed
O000472,C05168,2024-02-14,382.18,5,Completed
O000473,C03179,04-08-2023,268.18,0,Completed
O000474,C07432,2023-11-23,187.4,20,Completed
O000475,C03325,2024-01-28,442.97,0,Completed
O000476,C09755,01-07-2023,414.44,0,Returned
O000477,C01545,2023-04-01,488.63,10,Completed
O000478,C05852,2023-08-10,324.1,5,Completed
O000479,C08718,2023-11-16,348.15,0,Completed
O000480,C06173,2024-04-25,169.0,0,Completed
O000481,C04634,2023-02-14,58.79,5,Completed
O000482,C09942,16-04-2023,61.9,0,Completed
O000483,C06287,06-03-2024,326.51,5,Completed
O000484,C09033,23-02-2024,65.5,0,Completed
O000485,C02266,08-02-2024,454.25,0,Completed
O000486,C08905,15-03-2024,354.9,0,Cancelled
O000487,C08259,2023-08-21,120.84,0,Completed
O000488,C08953,12-03-2024,146.81,5,Completed
O000489,C06288,2023-11-27,357.89,5,Cancelled
O000490,C05261,2024-03-14,413.82,0,Completed
O000491,C08657,22-07-2023,421.32,10,Completed
O000492,C04192,24-04-2023,304.5,20,Completed
O000493,C04900,2023-08-11,86.06,0,Completed
O000494,C01468,2024-05-18,411.0,5,Completed
O000495,C04853,20-10-2023,397.91,10,Completed
O000496,C06102,14-02-2024,419.33,0,Completed
O000497,C07548,2023-03-04,87.26,0,Returned
O000498,C02761,15-02-2024,345.34,0,Cancelled
O000499,C06422,2023-04-01,480.52,20,Completed
O000500,C01394,25-08-2023,135.47,0,Completed
O000501,C03694,25-05-2023,361.2,0,Completed
O000502,C05379,06-02-2023,136.87,10,Completed
O000503,C01700,06-03-2023,160.48,20,Completed
O000504,C01121,28-04-2023,247.78,,Completed
O000505,C05330,2024-01-09,448.53,10,Completed
O000506,C01572,24-12-2023,28.94,5,Completed
O000507,C00729,2023-10-20,494.92,0,Completed
O000508,C00616,02-09-2023,388.32,0,Returned
O000509,C00371,20-01-2024,186.29,0,Completed
O000510,C06768,2023-05-19,183.54,0,Completed
O000511,C05339,2023-11-14,246.66,10,Completed
O000512,C04943,26-05-2024,438.98,5,Completed
O000513,C09140,2024-06-12,18.78,0,Completed
O000514,C01120,23-02-2024,278.64,5,Completed
O000515,C09648,2023-12-30,37.48,0,Cancelled
O000516,C06332,2024-05-14,66.64,0,Returned
O000517,C07020,2023-05-02,348.43,,Completed
O000518,C02423,26-04-2023,124.81,0,Completed
O000519,C07591,2023-03-07,30.38,20,Completed
O000520,C09533,2023-11-08,90.48,0,Completed
O000521,C09711,2023-10-03,112.23,10,Completed
O000522,C05826,22-02-2023,387.19,0,Completed
O000523,C06761,20-05-2023,316.21,5,Completed
O000524,C08903,22-04-2023,370.21,,Completed
O000525,C04571,2023-02-02,191.21,0,Completed
O000526,C00574,18-05-2024,65.44,20,Cancelled
O000527,C00508,12-02-2024,404.59,,Cancelled
O000528,C06736,07-04-2024,78.8,0,Returned
O000529,C02223,2024-03-03,197.51,0,Completed
O000530,C07689,14-10-2023,138.52,10,Completed
O000531,C01295,2023-02-22,155.3,,Completed
O000532,C09890,31-03-2023,304.91,0,Completed
O000533,C00788,11-02-2023,90.53,20,Completed
O000534,C04668,27-12-2023,228.48,0,Completed
O000535,C02234,14-04-2024,322.96,10,Completed
O000536,C08779,2023-07-18,435.77,10,Completed
O000537,C03651,01-02-2023,191.9,5,Completed
O000538,C03250,13-06-2024,166.16,0,Completed
O000539,C06072,11-10-2023,190.25,0,Completed
O000540,C04037,08-03-2024,255.39,10,Completed
O000541,C08748,25-11-2023,163.42,5,Returned
O000542,C01710,17-08-2023,132.72,20,Cancelled
O000543,C05213,2023-02-07,193.9,10,Cancelled
O000544,C01511,23-08-2023,391.14,0,Completed
O000545,C05904,2023-02-16,133.88,0,Completed
O000546,C08168,03-09-2023,423.87,,Completed
O000547,C07553,21-05-2024,149.7,0,Completed
O000548,C03507,09-06-2024,305.51,5,Returned
O000549,C06079,12-02-2023,485.78,0,Cancelled
O000550,C06433,10-02-2023,476.38,5,Completed
O000551,C03634,02-10-2023,222.97,5,Completed
O000552,C01462,04-02-2023,43.08,0,Completed
O000553,C05915,2023-06-14,452.29,0,Completed
O000554,C06353,2023-10-18,72.19,10,Cancelled
O000555,C02172,2023-07-13,462.54,5,Completed
